Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Description & Remarks.,Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Ross-on-wye,ROS,A,A40/A49/A449,141,51 54.965N 002 36.054W,,Roundabout 1 NMl W of Town,15,W,Cheltenham,35877 22434,ROS,ROS
Rotherham,ROT,A#,M18 J1/A631,135,53 25.419N 001 15.079W,,E edge of town. Avoid CTA base 2000ft 1 NMl E,8,SW,Doncaster,44985 39213,ROT,ROT
Rougham Field,ROU,C#,W end of peritrack S of Highfield Farm,184,52 14.912N 000 46.000E,123.165,N side of airfield with some light aircraft activity.  1 NMl E of Bury St Edmunds 300m S of rail line,24,E,Cambridge,58896 26475,ROU,ROU
Royston,ROY,B,Station Bridge,112,52 03.192N 000 01.586W,,"Road Bridge just E of station, N side of Town.",11,SW,Cambridge,53542 24126,ROY,ROY
Redruth SE,RSE,A,A393/B3298,180,50 12.921N 005 10.609W,,"T junction at Comford 2 NMl SE of town and 2 NMl E of tall mast, in centre of Cornish peninsula",42,WSW,Plymouth,17346 03987,RSE,RSE
Rosneath,RSN,D,Pier Land End,49,56 00.338N 004 47.629W,,W side of the Gareloch,5,NNW,Greenock,22590 68271,RSN,RSN
Rothesay,RSY,A,A844/B881,43,55 50.253N 005 03.255W,,T junction in town centre just E of castle,12,SW,Greenock,20884 66470,RSY,RSY
Rosthwaite,RTH,B,Bridge,312,54 31.549N 003 08.962W,,"Bridge over Stonethwaite Beck N of village 5 NMl S of Keswick.  Caution, rugged terrain",23,SSW,Carlisle,32571 51511,RTH,RTH
Rufforth South,RU1,D#,Pub,101,53 54.959N 001 10.524W,,"Buckle Inn N of A64,1.6 NMl S of Rufforth airfield, in line with Runway 36",4,SW,York,45426 44696,RU1,RU1
Rubha Reidh,RUB,A,Lighthouse,150,57 51.523N 005 48.704W,,On headland NW of Loch Ewe,21,W,Ullapool,17397 89184,RUB,RUB
Rufforth,RUF,C#,A/F R/Ws 29/35,65,53 57.100N 001 11.332W,129.98,"York Gliding Centre, also light aircraft traffic",4,W,York,45333 45092,RUF,RUF
Rugby,RUG,A,A426 Br over M45,262,52 20.014N 001 17.697W,,"3 NMl SW of town, NE of Draycote water.",18,SSW,Leicester,44814 27084,RUG,RUG
Ruthin NE,RUN,C,Tower,1818,53 09.267N 003 15.357W,,"Jubilee Tower, top of Moel Famau mountain 3NMl NE of Ruthin on Denbigh ridge.  Caution, rugged terrain",12,W,Chester,31611 36266,RUN,RUN
Rushden,RUS,A,A6/River Bridge,226,52 19.458N 000 35.905W,,Over River Nene 2 NMl N of Town.,12,ENE,Northampton,49562 27050,RUS,RUS
Ruthin West,RUW,B,A494 Roundabout,197,53 06.653N 003 19.226W,,West side of town,17,WSW,Chester,31171 35789,RUW,RUW
Ruthven,RVN,D,Ruins,780,57 04.320N 004 02.360W,,"Ruins of old military barracks 1 NML SE of Kingussie, used as a descent point after high level wave flights with the intention of being clear of high ground",25,SSW,Inverness,27646 79973,RVN,RVN
Rutland Water Dam,RWD,A#,Dam,281,52 39.837N 000 36.730W,,"NW end of dam wall, E side of lake. Shacklewell Lodge airstrip to SE.",19,E,Leicester,49396 30826,RWD,RWD
Rydal Bridge,RYB,C,Bridge,220,54 26.910N 003 00.414W,,"Small bridge over river at W end of Rydal Water and E of Grasmere, 2NMl NW of Ambleside.  Caution, rugged terrain",26,S,Carlisle,33481 50637,RYB,RYB
Ryde,RYD,B,Roundabout,10,50 43.886N 001 09.374W,,A3055 on sea front over railway line,6,SSW,Portsmouth,45963 09277,RYD,RYD
Rye,RYE,B,River/Rail Bridge,33,50 57.323N 000 44.327E,,"Rail Br over River Rother, NE side of town",8,NE,Hastings,59245 12090,RYE,RYE
Sackville,SAC,D#,Gliding Site,250,52 15.867N 000 29.090W,135.48,"Sackville GC site, 2 NMl North of Bedford airfield.",8,N,Bedford,50350 26400,SAC,SAC
Salisbury Cathedral,SAL,A,Tall Spire,151,51 03.885N 001 47.839W,,"404 ft spire, S of city centre between city and river Avon. Boscombe Down & Old Sarum traffic to the North.",0.2,S,Salisbury,41430 12951,SAL,SAL
Sandhill Farm,SAN,D#,Gliding Site Hangar,350,51 36.234N 001 40.591W,129.98,"Vale of White Horse GC site, 0.5 NMl NW of Shrivenham.",4,NE,Swindon,42250 18950,SAN,SAN
Shap,SAP,A,A6/Rail,880,54 32.111N 002 40.730W,,"A6 bridge over rail, N of village 8 NMl SSE of Penrith",23,SSE,Carlisle,35617 51576,SAP,SAP
Sarnesfield,SAR,C,A4112/A480,312,52 09.092N 002 55.227W,,"E of 2 T juncts on SW side of village, 6 NMl S of Shobdon A/F",10,NW,Hereford,33712 25076,SAR,SAR
Salisbury South,SAS,C,Bridge over River Avon,322,51 02.348N 001 45.364W,,"Just E of Longford Castle, 1 NMl WSW of the VRP at Alderbury. Avoids Boscombe & Old Sarum traffic.",3,S,Salisbury,41720 12667,SAS,SAS
Sandwich,SAW,A,A256/A257 R'bout,240,51 16.763N 001 19.290E,,"WNW edge of town, S of railway. A257 goes to Ash",9,E,Canterbury,63174 15860,SAW,SAW
Saxthorpe,SAX,C,B1149/B1354,135,52 49.825N 001 08.350E,,Village centre near church tower,13,NNW,Norwich,61157 33049,SAX,SAX
Saltby NW,SB2,B,Croxton Kerrial village T junction E,490,52 51.208N 000 45.463W,,E of two T-junctions in village. Just E of spot height 518 ft. 2.5 Nml NW of Saltby airfield,6,SW,Grantham,48375 32916,SB2,SB2
Strubby,SBB,C#,R/Ws 26/32,47,53 18.457N 000 10.043E,129.98,Lincolnshire GC site,25,E,Lincoln,54451 38115,SBB,SBB
Santon Bridge,SBR,C#,Bridge,85,54 24.119N 003 22.332W,,Bridge over river Irt in Santon Bridge village between Wast Water and Ravenglass.  Avoid Seascale restricted area to W,28,NW,Lancaster,31102 50159,SBR,SBR
Simonsbath,SBT,D,Church,1133,51 08.459N 003 45.103W,,"Church, East side of village.",26,NNW,Exeter,27755 13943,SBT,SBT
Saltby,SBY,A#,R/W Triangle,480,52 49.718N 000 42.860W,129.98,"Centre of 3 runways at Buckminster GC site. Glider aerobatics carried out over airfield 1000 to 4000 feet.  Alternative points SXB, SB2, BVR, GRA.",6,SW,Grantham,48672 32645,SBY,SBY
Scarborough,SCB,A,Lighthouse,131,54 16.916N 000 23.351W,,S side of promontary E side of town S of castle,30,NE,York,50497 48856,SCB,SCB
Scalford Church,SCF,C,Church Tower,379,52 48.558N 000 52.183W,,Church Tower in centre of Village.,14,NE,Leicester,47629 32412,SCF,SCF
Scoulton,SCL,C,T Junct SE of Lake,167,52 34.284N 000 56.141E,,"Lake with island, 2 NMl E of Watton disused A/F.",13,WSW,Norwich,59904 30111,SCL,SCL
Strathcarron,SCN,A,Rail br over A890,50,57 25.341N 005 25.736W,,SW side of village,30,SSW,Ullapool,19421 84208,SCN,SCN
Scourie,SCO,A,A894 T junction,20,58 21.089N 005 09.314W,,"In village centre S of harbour.  Caution, rugged terrain",27,N,Ullapool,21546 94466,SCO,SCO
St Catherine's Point,SCP,A,Lighthouse,30,50 34.530N 001 17.910W,,Most S point on Isle of Wight,14,SSW,Portsmouth,44977 07532,SCP,SCP
Scunthorpe N,SCU,B#,A1077/B1430,131,53 36.256N 000 39.166W,,Roundabout T junction N side of town.  CTA 3 NMl to W,16,ENE,Doncaster,48924 41281,SCU,SCU
St Davids,SDV,B,Cathedral Tower,164,51 52.902N 005 16.133W,,"West side of town, 12 NMl WNW of Haverfordwest",49,WNW,Swansea,17512 22540,SDV,SDV
Seighford South-West,SDW,C,Tower,389,52 48.948N 002 14.488W,,Tower of Abbey Ruin adjacent to triangular lake 2km WSW Seighford Airfield),19,ENE,Shrewsbury,38382 32428,SDW,SDW
Seighford Hangar,SE2,C#!,SE side of club hangar,321,52 49.666N 002 12.553W,129.98,"Staffordshire GC 3 NMl WNW of Stafford. Active Airfield, use new point SDW (Seighford South-West) instead.",20,ENE,Shrewsbury,38600 32560,SE2,SE2
Seaford East,SEA,A,A259 river Bridge,15,50 46.395N 000 08.760E,,Bridge over river Cuckmere 1 Nml E of outskirts of town on W side of flood plain,11,ESE,Brighton,55141 09927,SEA,SEA
Sedbergh,SED,B,A684/River,39,54 19.476N 002 34.066W,,Bridge W side of village. Few landable fields,18,NNE,Lancaster,36317 49226,SED,SED
Selset Reservoir,SEL,A,Dam wall north end,1050,54 35.362N 002 07.649W,,"At water course to E to next dam, 3 NMl S of Middleton-in-Teesdale",32,SW,Newcastle,39186 52158,SEL,SEL
Sennybridge,SEN,C,A40/A4067,625,51 57.002N 003 33.717W,,Centre of Grass Triangle at Junction on E side of village 6NMl W of Brecon. Difficult landing country.,33,WSW,Hereford,29275 22910,SEN,SEN
Settle,SET,A,Rail Br over A65,75,54 03.008N 002 17.162W,,1 NMl S of town just E of A65 roundabout. SW of 2200 ft ridge,18,E,Lancaster,38137 46161,SET,SET
Severn Bridge N,SEV,B,East End Tolls,243,51 36.204N 002 37.371W,,North of two bridges. Sea air in Westerlies.,16,NW,Bath,35696 18958,SEV,SEV
Sheffield West,SEW,B,Dam wall,1076,53 21.941N 001 35.743W,,"E end of 3 Redmires dams on high ground W side of Sheffield, 1 NMl N of 1500ft spot height",21,SW,Doncaster,42700 38550,SEW,SEW
Stamford Bridge,SFB,A,A166/River Bridge,62,53 59.473N 000 55.005W,,Bridge over river Derwent NW side of village,6,ENE,York,47112 45556,SFB,SFB
Sleaford,SFD,A,Rail/Rail Bridge,207,52 59.626N 000 23.301W,,"Br where N/S line crosses over E/W line. 1 NMl E of town, N of small lake. Avoid traffic at Cranwell and Barkston A/Fs",11,NE,Grantham,50827 34526,SFD,SFD
Sheffield East,SFE,A#,M1 J31/A57,174,53 21.731N 001 17.010W,,"6 NMl E of city, 2 NMl W of Aston village. Avoid CTA base 2000 ft 2 NMl to E.",9,SW,Doncaster,44778 38527,SFE,SFE
Stratford West,SFW,A,Road Bridge over R Avon,148,52 10.548N 001 47.380W,,"N side of Welford village, 2.5 NMl WSW of Stratford.  Used as a run-in point for Bidford comps",17,NW,Banbury,41448 25308,SFW,SFW
Stelling Windmill,SGW,D,Windmill,476,51 10.640N 001 04.156E,,S side of Stelling Minnis village 0.5 NMl E of B2068,6,S,Canterbury,61463 14649,SGW,SGW
Shobdon NW,SH2,D##,B4362 crossroads,475,52 15.681N 002 55.530W,,"Junction of B4362 and road to N to Byton, 2 NMl NW of airfield with ATZ, also site of Herefordshire GC.  This point is for the use of the GC as a remote start/finish point clear of the airfield itself",14,NW,Hereford,33693 26298,SH2,SH2
Shobdon E,SH3,D,Crossroads,290,52 16.265N 002 46.822W,,Bicton village,12,N,Hereford,34685 26395,SH3,SH3
Shobdon West,SH4,D,Y junction,250,52 14.450N 002 58.490W,,"on B4355, 500m north of Titley church",15,NW,Hereford,33353 26074,SH4,SH4
Shaftesbury,SHA,A,A30/A350 R'bout,650,51 00.120N 002 11.079W,,SE side of town.,14,WSW,Salisbury,38714 12253,SHA,SHA
Sherborne,SHB,A#!,Station/A352 Bridge,161,50 56.428N 002 31.244W,,"A352 Br over railway 1 km W of station, S side of town. Look for and avoid ILS and other traffic into Yeovil.",5,E,Yeovil,36351 11580,SHB,SHB
Stoer Head,SHD,B,Lighthouse,92,58 14.402N 005 24.162W,,"7 NMl NW of Lochinver.  Caution, rugged terrain",22,NNW,Ullapool,20036 93297,SHD,SHD
Sheffield North,SHE,A,M1 J35/A629,135,53 27.354N 001 26.728W,,"W side of Chapeltown village, 4 NMl N of Sheffield.",14,WSW,Doncaster,43692 39560,SHE,SHE
Shirebrook Station,SHI,A,Rail Station,223,53 12.198N 001 12.170W,,S side of triple rail junction W side of town 5 NMl N of Mansfield,24,W,Lincoln,45335 36766,SHI,SHI
Salt Hill Mast,SHL,D,Mast near 768ft high point,240,50 58.409N 001 02.425W,,"2 NMl W of 886ft spot height (Butser Hill), 4 NMl SW of Petersfield, near Hang Glider launch site on 1:500,000 map. TP is intended for South Downs ridge running.  Solent CTA 1.5 NMl to the West.",13,S,Lasham,46747 11978,SHL,SHL
Shepton Mallett,SHM,C,A361/A37,489,51 11.261N 002 32.166W,,E of Town Centre.,13,SSW,Bath,36263 14330,SHM,SHM
Shobdon,SHO,A##,E end of single R/W,328,52 14.524N 002 52.466W,118.155,"Airfield with ATZ, with light aircraft and microlights.  Herefordshire GC site. Alternative TPs avoiding ATZ are SH3 and SH4.  Always call before penetrating ATZ.",13,NNW,Hereford,34039 26079,SHO,SHO
Shipston-on-stour,SHP,A,A3400/A429,171,52 05.831N 001 37.742W,,2 NMl N of vill. on Fosse Way NNE of Moreton-in-Marsh.,10,W,Banbury,42551 24438,SHP,SHP
Shrewsbury,SHS,B,River Severn/Rail Br,171,52 42.626N 002 44.882W,,"City centre, near station.",0,N/A,Shrewsbury,34956 31279,SHS,SHS
Shottaton,SHT,C,Cross-Roads,303,52 47.911N 002 57.028W,,Junction of the A5 and B4397. 2nm E of Knockin. 5nm SE of Oswestry.,9,NW,Shrewsbury,33601 32275,SHT,SHT
Shrivenham N,SHV,B,A420/B4508 R'bt,335,51 36.934N 001 38.195W,,N side of village and Royal College of Military Science/Staff College complex. 1.5 NMl ENE of site of White Horse GC at Sandhill Farm.,1.5,ENE,Swindon,42526 19081,SHV,SHV
Shrewsbury NW,SHW,D,Shelton water tower,272,52 42.986N 002 47.624W,,300m N of A458/B4380 junction,2,NNW,Shrewsbury,34648 31349,SHW,SHW
Shawbury,SHY,A##!,Runway Intersection 18/36 & 05/23,240,52 47.876N 002 40.080W,133.15,RAF Shawbury Gliding Club at Active Air Force Station with ATZ.,44,W,Derby,35506 32247,SHY,SHY
Sidmouth,SID,B,River Bridge,30,50 40.745N 003 14.054W,,Bridge for SouthWest Coast Path over river Sid close to beach.,10,E,Exeter,31289 08733,SID,SID
Silverstone,SIL,C#,R/W 24 E end /Racetrack,502,52 04.376N 001 00.496W,,"East side of race track just N of long shed. Avoid helicopter activity, particularly on race days. Not suitable for Landing.",12,SSW,Northampton,46807 24208,SIL,SIL
Stirling South,SIS,A#,M9 J9/A872,118,56 04.651N 003 55.216W,,Mid point of M9 as it passes under 2 bridges at large roundabout at Bannockburn. TMA base 2500 ft,2,S,Stirling,28058 68885,SIS,SIS
Sittingbourne,SIT,A,M2 J5/ A249,407,51 19.770N 000 39.804E,,3 NMl WSW of town,7,NE,Maidstone,58565 16230,SIT,SIT
Stirling Northwest,SIW,A,A84 bridge over M9at Junction 10,105,56 08.070N 003 58.273W,,"Close to river Forth 1 NMl NW of Castle on rock. TMA 1.5 NMl to the S, base 2500 ft",2,NW,Stirling,27759 69528,SIW,SIW
Sixpenny Handley,SIX,A,A354/B3081,390,50 56.946N 001 59.160W,,R'bout 1 NMl SE of village.,6,SW,Salisbury,40108 11663,SIX,SIX
Stickney Bridge,SKB,A,Bridge,10,53 04.022N 000 00.929E,,A16 bridge over dyke 1 NMl S of village,21,ESE,Lincoln,53514 35410,SKB,SKB
Skeffington,SKE,C,A47/B6047,384,52 37.155N 000 55.336W,,"E of 2 T junctions 100 m apart, 1 NMl W of Village.",7,E,Leicester,47306 30293,SKE,SKE
Skelling Farm,SKF,D,Flying field,597,54 41.876N 002 35.002W,129.98,"6 NMl ENE of Penrith at bottom of Cross Fell ridge, site of Edensoaring club",17,SE,Carlisle,36250 53381,SKF,SKF
Stocks Reservoir South West,SKS,A,Tower near dam wall SW corner of water,625,53 59.208N 002 25.728W,,7 Nml N of Clitheroe,12,ESE,Lancaster,37198 45461,SKS,SKS
Selkirk W,SKW,A,A708/B7039,492,55 32.628N 002 54.020W,,T Junction 2 NMl W of town at B7039 bridge over Yarrow Water,28,SE,Edinburgh,34328 62816,SKW,SKW
Sleap,SLE,C##,A/F R/Ws 23/36,275,52 50.072N 002 46.221W,122.455,Airfield with ATZ and light aircraft activity.  Site of Shropshire Soaring Group.,10,N,Shrewsbury,34820 32661,SLE,SLE
Silloth,SLL,B,B5300/B5301,23,54 51.618N 003 23.085W,,T-junction S side of village,15,W,Carlisle,31121 55260,SLL,SLL
Selsey Bill,SLS,B,Lifeboat station,30,50 43.634N 000 46.732W,,E side of town,12,ESE,Portsmouth,48629 09267,SLS,SLS
Smailholm Tower,SMA,D,Tower on hill,680,55 36.256N 002 34.559W,,"Stone tower 1 Nml SW of Smailholm village, 5 NMl W of Kelso",21,SW,Berwick,36381 63467,SMA,SMA
Six Mile Bottom,SMB,A#!,A11/Rail Br,98,52 11.147N 000 17.936E,,"Dual carriageway bridge over railway, SW of village. Within Cambridge RAZ.",6,E,Cambridge,55726 25666,SMB,SMB
St Mary's Loch,SML,A,A708/River Br,30,55 29.541N 003 12.283W,,"Over Megget Water joining a Reservoir to the Loch, NE side of loch at Cappercleugh, 9 NMl S of Peebles",26,S,Edinburgh,32398 62272,SML,SML
St Michael's Mount,SMM,A,Centre Tower,175,50 06.990N 005 28.689W,,Benedictine Priory on Island 0.45nm SSE of Mainland at Marazion. Replacement for Penzance North. RMZ to West.,54,WSW,Plymouth,15145 02984,SMM,SMM
Snitterfield SW,SN2,D#,T junction A3400/minor road East,280,52 13.374N 001 44.126W,,"Start/finish point for Stratford GC at Snitterfield, near Dunn Cow inn",17,E,Worcester,41817 25833,SN2,SN2
Snainton,SNA,A,A170/B1258,220,54 13.716N 000 35.718W,,Y shaped junction W edge of village 7 NMl SW of Scarborough,23,NE,York,49167 48234,SNA,SNA
Snitterfield,SNI,D#,Gliding Site Hangar,375,52 14.136N 001 42.645W,129.98,"Stratford-on-Avon GC Site, E end of old R/W 27. CTA 1500ft to NE.",18,E,Worcester,41985 25975,SNI,SNI
Swindon N,SNO,B,A419/B4019,480,51 36.535N 001 47.269W,,"T junction at Broad Blunsden, B4019 goes NE to Highworth",2,N,Swindon,41479 19003,SNO,SNO
Staindrop,SNP,C,A688/B6274,95,54 34.881N 001 47.902W,,"T junction E of village, 1 NMl S of Raby castle",10,WNW,Darlington,41313 52070,SNP,SNP
St Neots S,SNS,B,A1/A421,72,52 11.074N 000 18.321W,,Roundabout 3 NML SSW of St Neots,7,NE,Bedford,51596 25539,SNS,SNS
Stratford NW,SNW,D#,Wilmcote village T Junction,195,52 13.215N 001 45.699W,,"2 Nml NW Stratford-on-Avon, W of canal. Used as run-in feature by Stratford Club at Snitterfield",16,E,Worcester,41638 25803,SNW,SNW
Stratford,SOA,A,River/A422 Bridge,121,52 11.481N 001 42.004W,,"Bridge over River Avon, E side of town.",15,NW,Banbury,42060 25483,SOA,SOA
Sutton-on-forest,SOF,C,B1363 T Junction,72,54 04.510N 001 06.089W,,"E side of village, just W of grass airfield at East Moor.",7,N,York,45889 46473,SOF,SOF
Soham,SOH,A#!,A1123 Br over rail,102,52 18.943N 000 20.453E,,"1 Nml S of village, 4 Nml NW of Newmarket in edge of Mildenhall W MATZ stub.  Railway goes from Ely to Newmarket",9,NE,Cambridge,55966 27120,SOH,SOH
Stokenchurch South,SOS,A,B482 bridge over M40,690,51 38.822N 000 53.433W,,South side of village.  LTMA base 4500ft,14,ESE,Oxford,47686 19483,SOS,SOS
Southam,SOU,C,A425/A423 Rbt,217,52 14.769N 001 23.461W,,E of two rbts S side of town. Note that the 300 ft high cement works chimney N of town is an aircraft VRP.,12,N,Banbury,44168 26106,SOU,SOU
Stow,SOW,C,Bridge over Railway,616,55 41.556N 002 52.030W,,Bridge at N end of Station. West of Village.,19,SE,Edinburgh,34559 64469,SOW,SOW
Spalding,SPA,C,Station/A151 Bridge,23,52 47.187N 000 09.561W,,"Rail bridge over A151, S side of station",13,NNE,Peterborough,52423 32257,SPA,SPA
Sharperton Bridge,SPB,A#,Over River Coquet,417,55 19.685N 002 04.363W,,E side of village 6 Nml WNW of Rothbury. Avoid D512 to SW when active.,28,NW,Newcastle,39548 60378,SPB,SPB
Spey Dam,SPD,B,Dam wall,886,57 00.670N 004 20.186W,,"Where river Spey leaves dam , 6 Nml NW of Dalwhinnie. Caution, rugged terrain",28,S,Inverness,25822 79354,SPD,SPD
Spean Bridge,SPE,A,A86/A82,617,56 53.582N 004 55.202W,,T junction in town centre,8,NE,Fort William,22223 78176,SPE,SPE
Staplehurst,SPH,A#,Stn/A229 Br,121,51 10.275N 000 33.119E,,"A229 Bridge over railway, E of station, under TMA base 3500 ft",6,S,Maidstone,57850 14443,SPH,SPH
Spilsby,SPI,C,A16/A158,46,53 11.385N 000 06.148E,,Roundabout 1 NMl NNE of village,24,E,Lincoln,54057 36791,SPI,SPI
Spittal of Glenshee,SPL,A,"A93 Br over Shee Water, Caution - rugged terrain.",1100,56 48.742N 003 27.455W,,12 NMl S of Braemar,25,NW,Dundee,31111 76993,SPL,SPL
Spinningdale Bridge,SPN,A,A949 over river,30,57 52.623N 004 14.190W,,SW side of village,25,N,Inverness,26746 88970,SPN,SPN
Sheppey E,SPP,B,Roundabout,16,51 22.389N 000 57.028E,,Eastern end of the Isle of Sheppey at Shellness,7,NW,Canterbury,60545 16792,SPP,SPP
Shap S,SPS,A,Centre of dam wall,920,54 29.871N 002 41.542W,,"2 NMl S of Shap village, 10 NMl SSE of Penrith.  Caution, rugged terrain",26,SSE,Carlisle,35526 51161,SPS,SPS
Shipton,SPT,C,B4368/B4378,269,52 31.177N 002 38.993W,,"Y shaped junction SW of town, 1.5 NMl S of 939 ft spot height, 8 NMl E of Long Mynd.",11,SSE,Shrewsbury,35600 29150,SPT,SPT
Spurn Head North,SPU,C,Kilnsea,5,53 37.194N 000 07.763E,,90 degree bend in road in Kilnsea village on W coast of Spurn Head.  Land narrows to the South of this point and becomes un-landable,40,NE,Lincoln,54094 41581,SPU,SPU
Stroud E,SRE,D,Y junction,656,51 44.698N 002 11.425W,,"Bisley road E side of town, used as Nympsfield Start and Control Point",10,SSW,Cheltenham,38695 20516,SRE,SRE
Strontian,SRN,A,A861 br over R Strontian,30,56 41.755N 005 34.281W,,Centre of village E end of Loch Sunart,17,SW,Fort William,18143 76172,SRN,SRN
Storrington SW,SRR,D,Roundabout,558,50 54.123N 000 28.687W,,"In car park top of South Downs ridge, 1 NMl SW of town",12,W,Brighton,50711 11250,SRR,SRR
Sheffield South,SSO,C,A61/A6102,591,53 19.601N 001 28.410W,,"Meadowhead roundabout S side of city on road to Chesterfield, 2 NMl WNW of Coal Aston E/W grass strip",21,N,Derby,43517 38121,SSO,SSO
Stoke SW,SSW,A,Bridge over M6,518,52 59.623N 002 17.366W,,"Footbridge in centre of Keele Motorway Services, 4 NMl WSW of Stoke on Trent.  Under CTA FL45",25,ESE,Chester,38067 34408,SSW,SSW
Stafford,STA,A,M6 J14/A5013,259,52 49.585N 002 08.751W,,NW edge of Town.  Bet. Birmingham and Stoke-on-Trent.,22,WSW,Derby,39027 32544,STA,STA
St Boswells,STB,A,A68/699,43,55 33.967N 002 38.872W,,"Crossroads SW edge of town, S of river Tweed",24,SW,Berwick,35924 63046,STB,STB
Stokenchurch Tower,STC,C,Tower,794,51 39.914N 000 55.480W,,"321 ft high, N side of M40. 6 NMl NW of Booker.",12,ESE,Oxford,47447 19682,STC,STC
Stradishall,STD,C,A143/B1063,184,52 08.886N 000 33.186E,,"E of 2 T junctions N of village, 9 NMl SW of Bury St Edmunds",15,ESE,Cambridge,57478 25305,STD,STD
Steyning,STE,C,Church Tower,59,50 53.398N 000 19.498W,,"NE side of town, 300 m W of small road Br over A 283",8,WNW,Brighton,51791 11139,STE,STE
St Fillans,STF,A,River Earn Bridge,66,56 23.489N 004 06.253W,,"Bridge over river Earn at E end of Loch Earn, E end of village",22,W,Perth,27020 72412,STF,STF
Stanhope,STH,C,B6278/River Bridge,690,54 44.802N 002 01.489W,,Bridge over river Wear. Few fields,20,NW,Darlington,39850 53908,STH,STH
Stirling,STI,C,Wallace Monument,92,56 08.314N 003 55.070W,,"400 m E of A9/A907 Rbt N side of Stirling, N of river",2,N,Stirling,28092 69564,STI,STI
Stockbridge,STK,A,A30/R Test Bridge,121,51 06.884N 001 29.876W,,W side of Town.,12,E,Salisbury,43524 13517,STK,STK
St Neots,STN,A,A428/Rail bridge,79,52 12.575N 000 15.704W,,"South side of town, 1 NMl E of A1/A428 roundabout.",8,NE,Bedford,51887 25824,STN,STN
Stone,STO,C,Station,249,52 54.493N 002 09.311W,,"At inverted Y shaped rail fork, NW side of town.",24,W,Derby,38966 33454,STO,STO
Stourport,STP,B,A451/River Bridge,144,52 20.216N 002 17.011W,,"Bridge over river Severn, SW side of town.",10,N,Worcester,38078 27102,STP,STP
Strachan,STR,B#,B976/B974,131,57 01.226N 002 32.195W,,"Village Centre, 3 NMl SW of Banchory, under CTA base 3000ft",15,WSW,Aberdeen,36752 79227,STR,STR
Stony Stratford,STS,A,A5/A508 R'bout,420,52 03.982N 000 52.172W,,NW side of town.,10,S,Northampton,47759 24149,STS,STS
Stretton,STT,A,A1/B668,338,52 44.061N 000 36.011W,,"Bridge between 2 roundabouts 2 NMl E of Cottesmore disused airfield, 6 NMl NW of Stamford.",12,S,Grantham,49462 31611,STT,STT
Sturminster Newton,STU,C,A357/B3092,151,50 55.254N 002 18.486W,,"T junction S side of town, near river Stour",12,E,Yeovil,37844 11354,STU,STU
Stow-on-the-wold,STW,C,A436/A429,217,51 55.754N 001 43.479W,,Near town centre.,16,SW,Banbury,41903 22567,STW,STW
Sutton Bank Start S,SU1,C#,Newburgh lake,223,54 10.996N 001 10.389W,,"W end of lake, SE side of Coxwold village, 3NMl SSE of Sutton Bank",14,NNW,York,45406 47670,SU1,SU1
Sutton Bank Start W,SU2,C#,A170 T junction,226,54 13.889N 001 17.550W,,"3 NMl W of Sutton Bank and 1 NML N of Bagby airstrip, avoid Bagby aircraft",18,NNW,York,44622 48198,SU2,SU2
Sutton Bank Control Point N,SU3,D#,Wethercote Farm,869,54 16.147N 001 11.786W,,"2 NMl N of Sutton Bank, on minor E-W road S of Y-shaped wood",19,NNW,York,45243 48624,SU3,SU3
Sutton Bank Control Point S,SU4,D#,T junction,138,54 11.463N 001 14.438W,,"2NMl SSW of Sutton Bank, 2 NMl of Husthwaite microlight site, avoid local traffic",14,NNW,York,44965 47752,SU4,SU4
Sudbury,SUD,A#,A131/River bridge,174,52 02.104N 000 43.263E,,SW of Town centre,15,W,Ipswich,58674 24090,SUD,SUD
Sutton Bank,SUT,A#,Clubhouse,920,54 13.728N 001 12.580W,118.685,"Circular building SW side of hangar, E side of Yorkshire GC site",16,N,York,45162 48174,SUT,SUT
Shipton under Wychwood,SUW,A,A361/River Bridge,330,51 51.696N 001 35.619W,,"Bridge over river Evenlode NE side of village. 7 Nml N of Brize Norton airfield, 2.5 NMl N of Brize zone.",14,NW,Oxford,42808 21819,SUW,SUW
Strathaven,SVN,A#,A71/A726,95,55 40.521N 004 03.869W,,SE side of town under TMA base 2000 ft.,10,SE,Glasgow,27027 64436,SVN,SVN
Snowdon,SWD,B,Station,3480,53 04.078N 004 04.695W,,"Rail station just W of 3491ft spot height.  Caution, rugged terrain",37,W,Chester,26085 35432,SWD,SWD
Swindon East,SWE,A,A419/Rail Bridge,331,51 34.673N 001 44.100W,,S of South Marston disused airfield.,1,ENE,Swindon,41846 18659,SWE,SWE
Shawhead,SWH,B,T-junction,331,55 03.904N 003 46.135W,,T junction in Shawhead Village,10,W,Dumfries,28713 57594,SWH,SWH
Swalcliffe,SWL,B,B4035 T junction,427,52 02.297N 001 27.148W,,"W side of Swalcliffe village, 3 NMl SSE of Edgehill A/F",3,W,Banbury,43765 23790,SWL,SWL
Southwell Minster,SWM,B,Centre Tower,197,53 04.606N 000 57.250W,,"Centre of Southwell town, 5NMl W of Newark-on-Trent",16,SW,Lincoln,47016 35379,SWM,SWM
